time,latitude,longitude,depth,mag,magType
2014-06-07T06:40:52.840Z,30.2645,81.6031,27.1,4.5,mb
2014-05-30T06:37:48.980Z,26.5567,90.227,10,4,mb
2014-04-12T16:33:03.760Z,31.498,86.4077,27.65,4.1,mb
2014-03-30T17:58:10.320Z,31.4096,86.4486,25.85,4.2,mb
2014-03-30T17:10:14.880Z,31.3961,86.4624,13.47,5.3,mb
2014-01-16T17:47:34.950Z,31.8719,90.2824,46.49,4.8,mb
2013-12-08T14:19:43.030Z,27.7317,87.6012,44.81,4,mb
2013-12-04T13:05:19.880Z,26.5885,89.5628,13.6,4.7,mb
2013-11-03T06:47:22.450Z,29.3825,81.8689,38.58,4,mb
2013-10-03T06:12:39.140Z,27.2898,88.4022,9.87,5.2,mb
2013-09-22T00:42:44.580Z,31.4853,86.5844,12.62,4.2,mb
2013-09-15T22:27:59.880Z,30.9206,83.2204,32.81,4.4,mb
2013-08-30T18:02:28.820Z,28.0742,85.7479,45.78,4.1,mb
2013-08-30T17:48:42.980Z,28.1613,85.8966,54.65,4.9,mb
2013-08-06T16:13:53.220Z,31.4676,86.4892,10,4.8,mb
2013-08-06T15:31:22.080Z,31.4444,86.4483,8.91,5.2,mb
2013-08-04T23:14:10.160Z,28.2703,87.1352,35.51,4.3,mb
2013-08-02T20:42:36.260Z,29.9248,87.8236,29.42,4.2,mb
2013-07-15T19:39:44.060Z,28.383,87.599,52.5,4.7,mb
2013-07-12T07:01:32.200Z,26.267,90.7,48.2,4.1,mb
2013-06-28T11:40:49.440Z,28.655,82.279,24.8,5,mb
2013-05-17T06:35:26.170Z,31.357,86.321,27,4.1,mb
2013-05-17T06:01:57.600Z,31.477,86.513,27.6,4.4,mb
2013-05-16T04:34:36.480Z,31.47,86.687,26.3,4,mb
2013-05-16T03:39:49.680Z,31.377,86.512,24.3,4.7,mb
2013-05-16T03:37:45.160Z,31.241,86.407,26.4,4.4,mb
2013-05-16T03:34:16.800Z,31.504,86.604,25.3,5.2,mb
2013-05-15T10:54:28.740Z,31.414,86.589,27.5,5.1,mb
2013-05-14T09:59:19.630Z,29.4,82.015,35,4,mb
2013-05-13T22:22:05.300Z,31.494,86.375,10,4.1,mb
2013-04-19T06:35:52.970Z,27.333,87.853,47.1,4.2,mb
2013-04-06T18:36:44.250Z,30.039,88.051,35,4.6,mb
2013-03-06T16:49:46.540Z,28.758,82.294,10,5,mb
2013-02-21T23:39:36.990Z,29.921,87.994,21.4,4.2,mb
